Unnamed: 0,cand_name,year,election_type,state,district,party,incumbency_status,race_outcome,contributions,percentage_votes,in_db,campaign_site,campaign_facebook,campaign_x,campaign_instagram,personal_website,personal_facebook,personal_linkedin
56,KEVIN LINCOLN,2024,federal:house,CA,9,REPUBLICAN,unknown,Lost,unknown,0.482079274,True,https://www.kevinlincolnforcongress.com,https://www.facebook.com/KevinLincolnCD9,https://x.com/KevinLincolnCD9,https://www.instagram.com/kevinlincolnca/,,https://www.facebook.com/Lincoln1205,https://www.linkedin.com/in/kevin-lincoln-ii-02b727b/
57,MARK DESAULNIER,2024,federal:house,CA,10,DEMOCRAT,unknown,Won,unknown,0.664734573,True,http://desaulnierforcongress.com,,,,,,
58,KATHERINE PICCININI,2024,federal:house,CA,10,REPUBLICAN,unknown,Lost,unknown,0.335265427,True,https://piccinini4congress.com/,https://www.facebook.com/p/Piccinini4Congress-100081500550875/,,https://www.instagram.com/piccinini4congress/,,https://www.facebook.com/profile.php?id=100009677384878,
59,NANCY PELOSI,2024,federal:house,CA,11,DEMOCRAT,unknown,Won,unknown,0.810342336,True,http://pelosiforcongress.org,,,,,,
60,BRUCE LOU,2024,federal:house,CA,11,REPUBLICAN,unknown,Lost,unknown,0.189657664,True,https://bruceforcongress.org,https://www.facebook.com/profile.php?id=61551166946892,https://x.com/RealBruceLou,https://www.instagram.com/brucelouforcongress,,https://www.facebook.com/brlou.391,https://www.linkedin.com/in/bruce-lou/
61,LATEEFAH SIMON,2024,federal:house,CA,12,DEMOCRAT,unknown,Won,unknown,0.654274357,True,http://lateefahsimon.com,,,,,,
62,JENNIFER TRAN,2024,federal:house,CA,12,DEMOCRAT,unknown,Lost,unknown,0.345725643,False,https://drtranforcongress.com/,https://www.facebook.com/drtranforcongress,https://x.com/DrJenniferTran,https://www.instagram.com/drtranforcongress/,,https://www.facebook.com/jennkimanh,https://www.linkedin.com/in/jenniferkimanhtranphd510/
63,ADAM GRAY,2024,federal:house,CA,13,DEMOCRAT,unknown,Won,unknown,0.500443294,True,http://adamgray.com,,,,,,
64,JOHN S. DUARTE,2024,federal:house,CA,13,REPUBLICAN,unknown,Lost,unknown,0.499556706,False,https://www.johnduarteforcongress.com/news/congressman-john-duarte-announces-2024-reelection-campaignnbspnbsp-8yy92,,,,,,
65,ERIC SWALWELL,2024,federal:house,CA,14,DEMOCRAT,unknown,Won,unknown,0.677536651,True,http://ericswalwell.com,,,,,,
66,VIN KRUTTIVENTI,2024,federal:house,CA,14,REPUBLICAN,unknown,Lost,unknown,0.322463349,True,https://www.vin4congress.com,https://www.facebook.com/vin4congress,https://x.com/vin4congress,https://www.instagram.com/vin4congress/,https://www.kruttiventi.org,https://www.facebook.com/kruttiventi,https://www.linkedin.com/in/kruttiventi/
67,KEVIN MULLIN,2024,federal:house,CA,15,DEMOCRAT,unknown,Won,unknown,0.730970077,True,http://kevinmullinforcongress.com,,,,,,
68,ANNA CHENG KRAMER,2024,federal:house,CA,15,REPUBLICAN,unknown,Lost,unknown,0.269029923,True,https://www.ackramerforcongress.org/,https://www.facebook.com/ackramer4congress,https://x.com/annack4congress,https://www.instagram.com/ackramer4congress/,,https://www.facebook.com/profile.php?id=61550020181390,https://www.linkedin.com/in/anna-kramer-0542582/
69,SAM LICCARDO,2024,federal:house,CA,16,DEMOCRAT,unknown,Won,unknown,0.582161983,True,http://samliccardo.com,,,,,,
70,EVAN LOW,2024,federal:house,CA,16,DEMOCRAT,unknown,Lost,unknown,0.417838017,False,https://www.evanlowforcongress.com/,https://www.facebook.com/evanlowforcongress,https://x.com/Evan_Low,https://www.instagram.com/aimhighgetlow,,https://www.facebook.com/evanlow,https://www.linkedin.com/in/evan-low-1952064/
71,RO KHANNA,2024,federal:house,CA,17,DEMOCRAT,unknown,Won,unknown,0.676647952,True,http://rokhanna.com,,,,,,
72,ANITA CHEN,2024,federal:house,CA,17,REPUBLICAN,unknown,Lost,unknown,0.323352048,True,https://www.anitaforcongress.us,https://www.facebook.com/profile.php?id=61553036496043,https://x.com/Anita4Congress,https://www.instagram.com/anitaforcongress.us/,,https://www.facebook.com/profile.php?id=61553076693998,
73,ZOE LOFGREN,2024,federal:house,CA,18,DEMOCRAT,unknown,Won,unknown,0.646258742,True,http://zoelofgren.com,,,,,,
74,PETER D. HERNANDEZ,2024,federal:house,CA,18,REPUBLICAN,unknown,Lost,unknown,0.353741258,False,https://hernandezforcongress.com,https://www.facebook.com/peterhernandezforcongress/,https://x.com/hernandez_CA18,https://www.instagram.com/hernandez_for_congress,,,https://www.linkedin.com/in/peter-hernandez-513a7771/
75,JIMMY PANETTA,2024,federal:house,CA,19,DEMOCRAT,unknown,Won,unknown,0.692956741,True,http://jimmypanetta.com,,,,,,
76,JASON MICHAEL ANDERSON,2024,federal:house,CA,19,REPUBLICAN,unknown,Lost,unknown,0.307043259,False,https://ivoterguide.com/candidate/78052/race/1248/election/1202,,,,,,
77,VINCE FONG,2024,federal:house,CA,20,REPUBLICAN,unknown,Won,unknown,0.65051872,True,http://vincefong.com,,,,,,
78,MIKE BOUDREAUX,2024,federal:house,CA,20,REPUBLICAN,unknown,Lost,unknown,0.34948128,False,https://boudreauxforcongress.com/,https://www.facebook.com/MikeBoudreauxSheriff,,,,https://www.facebook.com/mike.boudreaux.7564,
79,JIM COSTA,2024,federal:house,CA,21,DEMOCRAT,unknown,Won,unknown,0.525737607,True,http://jimcosta.com,,,,,,
