cand_name,year,election_type,state,district,party,incumbency_status,race_outcome,percentage_votes
Carmen Llanes Pulido,2024,Mayor,Texas,Austin,NONPARTISAN,FALSE,Lost,20.4
Paulette Guajardo,2024,Mayor,Texas,Corpus Christi,NONPARTISAN,TRUE,Won,50.6
Michael Hunter,2024,Mayor,Texas,Corpus Christi,NONPARTISAN,FALSE,Lost,49.4
Renard Johnson,2024,Mayor,Texas,El Paso,NONPARTISAN,FALSE,Won,32.5
Brian Kennedy,2024,Mayor,Texas,El Paso,NONPARTISAN,FALSE,Lost,24.2
Mark McBrayer,2024,Mayor,Texas,Lubbock,NONPARTISAN,FALSE,Won,72.2
Steve Massengale,2024,Mayor,Texas,Lubbock,NONPARTISAN,FALSE,Lost,27.8
Jack McCullough,2024,Mayor,Vermont,Montpelier,NONPARTISAN,TRUE,Won,55.1
Dan Jones,2024,Mayor,Vermont,Montpelier,NONPARTISAN,FALSE,Lost,38
Richard West,2024,Mayor,Virginia,Chesapeake,REPUBLICAN,TRUE,Won,55.6
Don Carey III,2024,Mayor,Virginia,Chesapeake,NONPARTISAN,FALSE,Lost,43.9
Kenny Alexander,2024,Mayor,Virginia,Norfolk,DEMOCRAT,TRUE,Won,59.3
Thomas Leeman Jr.,2024,Mayor,Virginia,Norfolk,NONPARTISAN,FALSE,Lost,33.4
Danny Avula,2024,Mayor,Virginia,Richmond,DEMOCRAT,FALSE,Won,45.6
Michelle Mosby,2024,Mayor,Virginia,Richmond,DEMOCRAT,FALSE,Lost,25.8
Bob Dyer,2024,Mayor,Virginia,Virginia Beach,REPUBLICAN,TRUE,Won,40.9
Sabrina Wooten,2024,Mayor,Virginia,Virginia Beach,NONPARTISAN,FALSE,Lost,31.7
Cavalier Johnson,2024,Mayor,Wisonsin,Milwaukee,DEMOCRAT,TRUE,Won,81
David King,2024,Mayor,Wisonsin,Milwaukee,REPUBLICAN,FALSE,Lost,18.4
Patrick Collins,2024,Mayor,Wyoming,Cheyenne,NONPARTISAN,TRUE,Won,58.2
Rick Coppinger,2024,Mayor,Wyoming,Cheyenne,NONPARTISAN,FALSE,Lost,40.5
Randall Woodfin,2025,Mayor,Alabama,Birmingham,DEMOCRAT,TRUE,Won,74.9
Lashunda Scales,2025,Mayor,Alabama,Birmingham,DEMOCRAT,FALSE,Lost,14.6
Barbara Lee,2025,Mayor,California,Oakland,DEMOCRAT,FALSE,Won,52.7
Loren Taylor,2025,Mayor,California,Oakland,DEMOCRAT,FALSE,Lost,47.3
Bryan Calvo,2025,Mayor,Florida,Hialeah,NONPARTISAN,FALSE,Won,52.9
Jesus Tundidor,2025,Mayor,Florida,Hialeah,NONPARTISAN,FALSE,Lost,20.7
Eileen Higgins,2025,Mayor,Florida,Miami,DEMOCRAT,FALSE,Won,59.5
Emilio Gonzalez,2025,Mayor,Florida,Miami,REPUBLICAN,FALSE,Lost,40.5
Andre Dickens,2025,Mayor,Georgia,Atlanta,DEMOCRAT,TRUE,Won,85
Eddie Andrew Meredith,2025,Mayor,Georgia,Atlanta,NONPARTISAN,FALSE,Lost,6.1
Spencer Duncan,2025,Mayor,Kansas,Topeka,NONPARTISAN,FALSE,Won,75.1
Henry McClure,2025,Mayor,Kansas,Topeka,NONPARTISAN,FALSE,Lost,24.3
Helena Moreno,2025,Mayor,Louisiana,New Orleans,DEMOCRAT,FALSE,Won,54.9
Royce Duplessis,2025,Mayor,Louisiana,New Orleans,DEMOCRAT,FALSE,Lost,22.3
Jared Littmann,2025,Mayor,Maryland,Annapolis,DEMOCRAT,FALSE,Won,73.3
Bob O'Shea,2025,Mayor,Maryland,Annapolis,REPUBLICAN,FALSE,Lost,26.4
Mary Sheffield,2025,Mayor,Michigan,Detroit,DEMOCRAT,FALSE,Won,77
Solomon Kinloch,2025,Mayor,Michigan,Detroit,DEMOCRAT,FALSE,Lost,22.5
Andy Schor,2025,Mayor,Michigan,Lansing,DEMOCRAT,TRUE,Won,65.9
Kelsea Hector,2025,Mayor,Michigan,Lansing,NONPARTISAN,FALSE,Lost,33.1
Jacob Frey,2025,Mayor,Minnesota,Minneapolis,DEMOCRAT,TRUE,Won,53.8
Omar Fateh,2025,Mayor,Minnesota,Minneapolis,DEMOCRAT,FALSE,Lost,47.2
Kaohly Her,2025,Mayor,Minnesota,St. Paul,DEMOCRAT,FALSE,Won,51.5
Melvin Carter III,2025,Mayor,Minnesota,St. Paul,DEMOCRAT,TRUE,Lost,48.5
Cara Spencer,2025,Mayor,Missouri,St. Louis,DEMOCRAT,FALSE,Won,64.1
Tishaura Jones,2025,Mayor,Missouri,St. Louis,DEMOCRAT,TRUE,Lost,35.8
John Horhn,2025,Mayor,Mississippi,Jackson,DEMOCRAT,FALSE,Won,67
Rodney DePriest,2025,Mayor,Mississippi,Jackson,INDEPENDENT,FALSE,Lost,27.6
Emily Dean,2025,Mayor,Montana,Helena,NONPARTISAN,FALSE,Won,50.6
Andy Shirtliff,2025,Mayor,Montana,Helena,NONPARTISAN,FALSE,Lost,48.7
John Ewing Jr,2025,Mayor,Nebraska,Omaha,DEMOCRAT,FALSE,Won,56.8
Jean Stothert,2025,Mayor,Nebraska,Omaha,REPUBLICAN,TRUE,Lost,42.9
Byron Champlin,2025,Mayor,New Hampshire,Concord,DEMOCRAT,TRUE,Won,62.6
Kate West,2025,Mayor,New Hampshire,Concord,NONPARTISAN,FALSE,Lost,37.4
James Solomon,2025,Mayor,New Jersey,Jersey City,DEMOCRAT,FALSE,Won,68.2
Jim McGreevey,2025,Mayor,New Jersey,Jersey City,DEMOCRAT,FALSE,Lost,31.8
Tim Keller,2025,Mayor,New Mexico,Albuquerque,DEMOCRAT,TRUE,Won,57.7
Darren White,2025,Mayor,New Mexico,Albuquerque,REPUBLICAN,FALSE,Lost,42.3
Michael Garcia,2025,Mayor,New Mexico,Santa Fe,NONPARTISAN,FALSE,Won,62.8
Oscar Salazar Rodriguez,2025,Mayor,New Mexico,Santa Fe,NONPARTISAN,FALSE,Lost,37.2
Dorcey Applyrs,2025,Mayor,New York,Albany,DEMOCRAT,FALSE,Won,83.7
Rocco Pezzulo,2025,Mayor,New York,Albany,REPUBLICAN,FALSE,Lost,13.4
Sean Ryan,2025,Mayor,New York,Buffalo,DEMOCRAT,FALSE,Won,71.8
James Gardner,2025,Mayor,New York,Buffalo,REPUBLICAN,TRUE,Lost,22.7
Zohran Mamdani,2025,Mayor,New York,New York City,DEMOCRAT,FALSE,Won,50.8
Andrew Cuomo,2025,Mayor,New York,New York City,DEMOCRAT,FALSE,Lost,41.3
Vi Alexander Lyles,2025,Mayor,North Carolina,Charlotte,DEMOCRAT,TRUE,Won,70.5
Terrie Donovan,2025,Mayor,North Carolina,Charlotte,REPUBLICAN,FALSE,Lost,25.5
Leonardo Williams,2025,Mayor,North Carolina,Durham,DEMOCRAT,TRUE,Won,57.6
Anjanee Bell,2025,Mayor,North Carolina,Durham,NONPARTISAN,FALSE,Lost,42
Marikay Abuzuaiter,2025,Mayor,North Carolina,Greensboro,DEMOCRAT,FALSE,Won,60.7
Robbie Perkins,2025,Mayor,North Carolina,Greensboro,NONPARTISAN,FALSE,Lost,38.8
Aftab Pureval,2025,Mayor,Ohio,Cincinnati,DEMOCRAT,TRUE,Won,77.3
Cory Bowman,2025,Mayor,Ohio,Cincinnati,REPUBLICAN,FALSE,Lost,22.7
Justin Bibb,2025,Mayor,Ohio,Cleveland,DEMOCRAT,TRUE,Won,73.9
Laverne Gore,2025,Mayor,Ohio,Cleveland,REPUBLICAN,FALSE,Lost,25
Wade Kapszukiewicz,2025,Mayor,Ohio,Toledo,DEMOCRAT,TRUE,Won,60.5
Roberto Torres,2025,Mayor,Ohio,Toledo,INDEPENDENT,FALSE,Lost,32.2
Wanda Williams,2025,Mayor,Pennsylvania,Harrisburg,DEMOCRAT,TRUE,Won,56.5
Dan Miller,2025,Mayor,Pennsylvania,Harrisburg,REPUBLICAN,FALSE,Lost,42.5
Corey O'Connor,2025,Mayor,Pennsylvania,Pittsburgh,DEMOCRAT,FALSE,Won,85.6
Toney Moreno,2025,Mayor,Pennsylvania,Pittsburgh,REPUBLICAN,FALSE,Lost,12.1
Daniel Rickenmann,2025,Mayor,South Carolina,Columbia,REPUBLICAN,TRUE,Won,61.5
Jessica Thomas,2025,Mayor,South Carolina,Columbia,NONPARTISAN,FALSE,Lost,32.3
Mattie Parker,2025,Mayor,Texas,Fort Worth,REPUBLICAN,TRUE,Won,66.7
Josh Lucas,2025,Mayor,Texas,Fort Worth,NONPARTISAN,FALSE,Lost,17.8
Dylan Hendrick,2025,Mayor,Texas,Garland,NONPARTISAN,FALSE,Won,51.7
Deborah S. Morris,2025,Mayor,Texas,Garland,NONPARTISAN,FALSE,Lost,48.3
Gina Ortiz Jones,2025,Mayor,Texas,San Antonio,DEMOCRAT,FALSE,Won,54.3
Rolando Pablos,2025,Mayor,Texas,San Antonio,REPUBLICAN,FALSE,Lost,45.7
Katie Wilson,2025,Mayor,Washington,Seatte,DEMOCRAT,FALSE,Won,50.2
Bruce Harrell,2025,Mayor,Washington,Seattle,DEMOCRAT,TRUE,Lost,49.5
