candidate_id,candidate_name,state,race_type,year,district,election_stage,bad_campaign_url,bad_wikipedia_url,action,found_campaign_url
16091,Dan Tran,California,State House,2024,48,general,https://phuquoc.kiengiang.dcs.vn,https://en.wikipedia.org/wiki/Phú_Quốc,clear_both,http://derektranforcongress.com
14974,Aaron Draper,California,State House,2024,3,general,http://www.gallagherforassembly.com/,https://en.wikipedia.org/wiki/James_Gallagher_(California_politician),clear_both,https://www.draper4change.com/
7175,Duane J Shukoski,Wisconsin,State House,2024,53,general,https://www.kaufertforassembly.com/,https://en.wikipedia.org/wiki/Dean_Kaufert,clear_both,https://www.kaufertforassembly.com/
10895,Eric Norman,Texas,State House,2024,44,general,http://www.opensecrets.org/races/election.php?state=TX&cycle=2014,https://en.wikipedia.org/wiki/2014_United_States_House_of_Representatives_elections_in_Texas,clear_both,https://www.ericfortx.com/
12162,Stephanie Morales,Texas,State House,2024,138,general,https://voteforpenny.com/,,clear_campaign_url_only,https://voteforpenny.com/
7201,Alison H Page,Wisconsin,State House,2024,30,general,http://gwenmooreforcongress.com,https://en.wikipedia.org/wiki/Gwen_Moore,clear_both,http://gwenmooreforcongress.com
7207,Nicole Sidman,North Carolina,State House,2024,105,general,https://web.archive.org/web/20230405171139/https://www.triciacotham.org/,https://en.wikipedia.org/wiki/Tricia_Cotham,clear_both,https://bluevoterguide.org/NC/candidate_Nicole_Sidman/526451
15746,Michelle Antalec,North Carolina,State House,2024,113,general,https://web.archive.org/web/20230405171139/https://www.triciacotham.org/,https://en.wikipedia.org/wiki/Tricia_Cotham,clear_both,https://bluevoterguide.org/NC/candidate_Michelle_Antalec/526463
15967,Kiara Trina Johnson,North Carolina,State House,2024,6,general,https://web.archive.org/web/20230405171139/https://www.triciacotham.org/,https://en.wikipedia.org/wiki/Tricia_Cotham,clear_both,https://justfacts.votesmart.org/candidate/biography/202665/kiara-johnson
7345,Patrick J Snyder,Wisconsin,State House,2024,85,general,https://twitter.com/SpeakerVos,https://en.wikipedia.org/wiki/Robin_Vos,clear_both,https://electjon.com/
7212,Todd Huston,Indiana,State House,2024,37,general,https://www.ourcampaigns.com/CandidateDetail.html?CandidateID=298463,,clear_campaign_url_only,https://www.ourcampaigns.com/CandidateDetail.html?CandidateID=298463
7236,Catherine Stefani,California,State House,2024,19,general,https://a19.asmdc.org/,,clear_campaign_url_only,https://a19.asmdc.org/
16102,Stephan Hohil,California,State House,2024,51,general,https://www.rickchavezzbur.com/,https://en.wikipedia.org/wiki/Rick_Zbur,clear_both,https://freedomvoterguide.com/candidates/stephan-hohil-2/
7257,Buffy Wicks,California,State House,2024,14,general,https://a14.asmdc.org/,,clear_campaign_url_only,http://a14.asmdc.org
7286,Matt Haney,California,State House,2024,17,general,http://a17.asmdc.org,,clear_campaign_url_only,http://a17.asmdc.org
7297,Heath Flora,California,State House,2024,9,general,http://ad09.asmrc.org,,clear_campaign_url_only,http://ad09.asmrc.org
15095,Vinaya Singh,California,State House,2024,10,general,https://www.stephanienguyenforassembly.com/,https://en.wikipedia.org/wiki/Stephanie_Nguyen_(politician),clear_both,https://drsinghforassembly.com/
7309,Mary Beth Canty,Illinois,State House,2024,54,general,https://www.repmbc.com/,,clear_campaign_url_only,https://www.repmbc.com/
7329,Andy Hopper,Texas,State House,2024,64,general,https://house.texas.gov/members/4555,,clear_campaign_url_only,https://house.texas.gov/members/4555
7347,Tara Sreekrishnan,California,State House,2024,26,general,https://a26.asmdc.org,https://en.wikipedia.org/wiki/Patrick_Ahrens,clear_both,https://a26.asmdc.org
12952,Joe Salvato,Ohio,State House,2024,29,general,http://www.franklarose.com/,https://en.wikipedia.org/wiki/Frank_LaRose,clear_both,http://www.franklarose.com/
15166,Cynthia Navarro,California,State Senate,2024,31,general,http://cervantesforassembly.com/,https://en.wikipedia.org/wiki/Sabrina_Cervantes,clear_both,http://cervantesforassembly.com/
10482,Denise Aguilar Mendez,California,State House,2024,13,general,http://www.freedom-angels.org/,https://en.wikipedia.org/wiki/Freedom_Angels_Foundation,clear_both,http://www.freedom-angels.org/
7582,Liz Bishop,Illinois,State House,2024,76,general,https://www.facebook.com/MurriFor76/,https://en.wikipedia.org/wiki/Murri_Briel,clear_both,https://www.facebook.com/MurriFor76/
7420,Ricardo Ruiz,Oregon,State House,2024,50,general,https://www.ricki4oregon.com/,,clear_campaign_url_only,https://www.ricki4oregon.com/
14358,Sangeetha Shanbhogue,California,State House,2024,20,general,http://ortegaforassembly.com,https://en.wikipedia.org/wiki/Liz_Ortega,clear_both,https://www.ourcampaigns.com/CandidateDetail.html?CandidateID=628768
13795,Stacey Swann,Texas,State House,2024,68,general,http://valoreeswanson.com,https://en.wikipedia.org/wiki/Valoree_Swanson,clear_both,http://valoreeswanson.com
7441,Roneyse Bichotte Hermelyn,New York,State House,2024,42,general,http://assembly.state.ny.us/mem/Rodneyse-Bichotte,,clear_campaign_url_only,http://assembly.state.ny.us/mem/Rodneyse-Bichotte
11176,Carolyn Salter,Texas,State House,2024,8,general,http://lancegooden.com,https://en.wikipedia.org/wiki/Lance_Gooden,clear_both,http://lancegooden.com
9626,Andrew J Davis,Oregon,State House,2024,32,general,http://mt.gov,https://en.wikipedia.org/wiki/Montana,clear_both,https://uselectionatlas.org/RESULTS/
9722,Kelly Clark,Wisconsin,State House,2024,33,general,https://vermont.gov,https://en.wikipedia.org/wiki/Vermont,clear_both,https://rumble.com/v5aja3h-kelly-clark-kickoff-campaign-wisconsin-assembly-district-33.html
10401,Alicia Roshong,Ohio,State House,2024,89,general,https://allisonrusso.com/,https://en.wikipedia.org/wiki/Allison_Russo,clear_both,https://roshongforohio.com/home
16113,Lance York,Texas,State House,2024,146,general,https://www.laurenashleysimmons.com/,https://en.wikipedia.org/wiki/Lauren_Ashley_Simmons,clear_both,https://www.laurenashleysimmons.com/
11679,Joseph Rubay,California,State House,2024,16,general,https://rebeccabauerkahan.com,https://en.wikipedia.org/wiki/Rebecca_Bauer-Kahan,clear_both,https://rebeccabauerkahan.com
14823,Ted Stroll,California,State House,2024,25,general,http://www.ashkalra.com/,https://en.wikipedia.org/wiki/Ash_Kalra,clear_both,https://www.tedstroll.com/
7578,Jared L Patterson,Texas,State House,2024,106,general,https://www.whitesboro.org/,"https://en.wikipedia.org/wiki/Whitesboro,_Texas",clear_both,https://jaredpatterson.net/
7583,Anne M Stava-Murray,Illinois,State House,2024,81,general,https://www.teamstavamurray.com/,https://en.wikipedia.org/wiki/Anne_Stava,clear_both,https://www.teamstavamurray.com/
15628,Stephen M Wyman,Texas,State House,2024,20,general,http://www.terrywilsonfortexas.com,https://en.wikipedia.org/wiki/Terry_Wilson_(politician),clear_both,http://www.terrywilsonfortexas.com
7605,Kate Sanchez,California,State House,2024,71,general,https://ad71.asmrc.org/,,clear_campaign_url_only,https://ad71.asmrc.org/
16081,Gary Kephart,California,State House,2024,71,general,https://ad71.asmrc.org/,https://en.wikipedia.org/wiki/Kate_Sanchez,clear_both,https://garykephart.com/wordpress/gary-kephart-for-assembly-district-71/
13467,Kristen Washington,Texas,State House,2024,2,general,https://www.brentmoney.com/,https://en.wikipedia.org/wiki/Brent_Money,clear_both,https://www.brentmoney.com/
9748,Mark Curtis,Ohio,State House,2024,35,general,http://www.ohiostatehouse.org/,https://en.wikipedia.org/wiki/Ohio_Statehouse,clear_both,https://www.curtisforohio.com/
11477,Jim Colopy,Ohio,State House,2024,32,general,http://www.ohiostatehouse.org/,https://en.wikipedia.org/wiki/Ohio_Statehouse,clear_both,https://colopyforohio.com/
14712,Josiah Leinbach,Ohio,State House,2024,41,general,http://www.ohiostatehouse.org/,https://en.wikipedia.org/wiki/Ohio_Statehouse,clear_both,https://ohio.gov
16098,George Barks,California,State House,2024,66,general,https://www.alforassembly.com,https://en.wikipedia.org/wiki/Al_Muratsuchi,clear_both,https://www.alforassembly.com
7955,Sharifa Wahab,Nevada,State House,2024,35,general,https://www.edgeworthfornevada.com/,https://en.wikipedia.org/wiki/Rebecca_Edgeworth,clear_both,https://www.sharifafornevada.com
10379,Philip J (Phil) Wiese,Iowa,State House,2024,82,general,http://www3.legis.state.ia.us/ga/member.do?id=98,https://en.wikipedia.org/wiki/Philip_Wise,clear_both,https://www.vote.org/
9621,Shauna Johnson,South Carolina,State House,2024,24,general,https://www.ab.edu,https://en.wikipedia.org/wiki/Alderson_Broaddus_University,clear_both,https://shaunajohnson.com
7959,Hugh Brewster (Bruce) Williamson Iii,Georgia,State House,2024,112,general,https://www.ourcampaigns.com/CandidateDetail.html?CandidateID=248889,https://en.wikipedia.org/wiki/Bruce_Williamson_(politician),clear_both,https://www.ourcampaigns.com/CandidateDetail.html?CandidateID=248889
10112,Mary Ann Mendoza,Arizona,State House,2024,9,general,https://www.lorenaaustin.com/,https://en.wikipedia.org/wiki/Lorena_Austin,clear_both,https://www.lorenaaustin.com/
8816,Jeremy Messina,New York,State House,2024,113,general,http://simpsonforassembly.com/,https://en.wikipedia.org/wiki/Matt_Simpson_(New_York_politician),clear_both,http://simpsonforassembly.com/
11066,Linda R Robertson,Illinois,State House,2024,65,general,https://ugasteforillinois.com/,https://en.wikipedia.org/wiki/Dan_Ugaste,clear_both,https://ugasteforillinois.com/
8097,Yvette Benarroch,Florida,State House,2024,81,general,https://www.flhouse.gov/Sections/Representatives/custom/details.aspx?MemberId=4923&LegislativeTermId=91,,clear_campaign_url_only,https://www.flhouse.gov/Sections/Representatives/custom/details.aspx?MemberId=4923&LegislativeTermId=91
16956,Brett Harvey Nelson,Iowa,State House,2024,43,general,https://www.barkerforiowa.com/,https://en.wikipedia.org/wiki/Brett_Barker,clear_both,https://www.barkerforiowa.com/
10766,Scott Firsing,Texas,State House,2024,47,general,http://vikkigoodwin.com,https://en.wikipedia.org/wiki/Vikki_Goodwin,clear_both,http://vikkigoodwin.com
8230,Edward C Braunstein,New York,State House,2024,26,general,http://assembly.state.ny.us/mem/?ad=026,,clear_campaign_url_only,http://assembly.state.ny.us/mem/?ad=026
8562,Megan Kocher,Pennsylvania,State House,2024,119,general,https://repryncavage.com/,https://en.wikipedia.org/wiki/Alec_Ryncavage,clear_both,https://repryncavage.com/
16375,Areienne Alana Leblanc,Tennessee,State House,2024,61,general,https://www.tn.gov/governor.html,https://en.wikipedia.org/wiki/Bill_Lee_(Tennessee_politician),clear_both,https://lykelect.com/post/alana-leblanc/066974d0-c26e-4d83-96be-d262e2ed61a6/
